# dim1,dim2
6.384520879028880991e-01,8.432830578963299573e-01
4.462828041601772378e-01,4.587408800054378899e-01
7.558116453042247329e-01,7.880907322385422020e-01
2.224777205960192794e-01,2.391342209659709228e-01
3.377437727346489504e-01,3.414041668965111520e-01
3.012584039515348033e-01,3.179422018442683573e-01
1.407122697598386374e-01,4.241353728798429312e-01
5.271131716023453873e-01,8.747253403661321425e-01
9.168908304259684172e-01,9.973277079851763371e-01
5.623447376560147815e-01,5.486395378619202123e-01
7.864838245198293443e-01,7.861302120243138791e-01
7.200586039512102410e-01,1.119584702691984734e-01
4.804432330058524547e-01,1.478790074448757541e-01
3.490665579925459339e-01,2.100305085530467242e-01
1.916914210158648380e-01,1.278230293234276504e-01
4.205104756881843930e-01,1.536319906403451618e-01
3.893483492837236937e-01,6.757792001054636621e-01
5.670608883774483910e-01,7.946222601947940944e-01
9.777401569893290345e-01,9.857275920789105861e-01
2.295461813018981889e-01,3.769698186568345433e-01
8.671256961622554327e-01,6.953509592457470800e-01
2.485994697959955091e-01,1.450451786145221522e-01
2.043354803972096123e-01,3.184967823967843059e-01
8.722504324193969261e-02,2.017576339771409363e-02
7.806350089920500723e-01,8.407627404902107138e-01
6.836001835950498151e-01,3.864121999359847459e-01
5.642615124499571894e-02,5.095443045851848485e-01
1.605896692427473127e-01,6.045052878622285686e-01
5.810821684489233530e-01,6.551316711020842565e-01
4.437204060037446829e-01,5.270594491193077991e-01
2.506631940764190158e-01,1.352106140663056344e-01
7.848695277870376685e-01,8.095123025103474479e-01
4.747305633599988028e-01,2.130022607156303871e-01
5.968815856785091301e-01,4.496618298832318894e-01
2.819383643308641108e-01,2.195410926690513076e-01
3.975708306543609405e-01,3.388286602839336026e-01
1.762931938534635923e-01,1.389568420818229622e-02
2.788339451662184484e-02,2.686906038212914793e-02
4.554128124844666337e-01,6.739882622683451840e-01
3.668859356953174666e-01,7.592268644172213143e-01
4.986713729193452127e-01,1.421914893392342005e-01
8.463719592306677697e-01,6.434585348883528066e-01
1.299545758537322682e-01,1.040717157754951216e-01
6.665552812988071452e-01,6.434672251351633010e-01
7.677456441932790747e-03,2.019543967111646701e-02
6.776953757945738399e-01,1.283104273759917979e-01
5.071076874488519293e-01,6.386968664035383991e-01
3.813969758217042316e-01,7.744075685302951317e-01
8.332763747788932696e-01,9.258280641656466692e-01
4.057639881957589845e-01,6.615845525243581049e-01
7.721828386185848325e-01,7.688311574834245654e-01
3.914682600770809651e-01,3.937275365622216472e-01
8.424424981920684008e-01,7.815875857026607365e-01
6.851012769957124382e-01,5.697815201733738011e-01
4.798072180756930427e-01,6.819700976595650666e-01
2.970884474203328018e-01,4.940654375975933599e-01
5.133880867516986690e-01,3.283516495146668879e-01
6.276464544341215923e-01,6.081687958958879037e-01
8.024829609403295594e-01,8.869047417686717338e-01
4.871358139204498006e-01,2.891474383705009421e-01
8.608318040621745215e-01,7.240027722157109658e-01
4.198311113577202214e-01,4.261054390692808891e-01
4.919167716522762079e-01,6.736008672676855324e-01
7.593402775753343992e-01,5.438521119330869125e-01
5.337931940645548323e-01,7.653517630052992793e-01
4.136588140629262611e-01,4.416538569555229499e-01
1.308378777205991272e-01,3.125392642614003291e-01
1.828181690170371798e-01,7.997870088718761483e-02
4.020828815735171258e-01,2.352751560981223844e-01
8.684345295454993785e-01,9.599800100373065970e-01
8.270266833383236316e-01,6.222958630444307415e-01
6.681243470900500858e-01,7.186648164867758259e-01
7.050530211978860429e-01,3.307191302534080446e-01
3.153368620053148552e-01,6.908835240112534137e-01
3.411221770793898544e-01,5.234818279144899389e-01
4.643474161516112919e-01,2.649883980800304961e-01
7.157195018220028349e-01,6.945870253709083286e-01
5.657828485177290867e-01,9.965640475612852489e-02
5.614375324323219729e-01,7.924404365338195699e-01
4.705460107714262152e-01,8.194342003115530071e-01
5.157845181080881192e-01,8.141525839084712279e-01
3.055395720182102481e-01,1.655072042313930347e-01
9.489029506121704483e-02,2.767611803276929031e-02
1.323404205137352352e-01,3.031591022722306406e-01
1.393657222143547258e-01,1.799819179705832717e-01
2.574181643237197226e-01,1.218759258337202556e-01
6.754880698188647781e-01,8.230931872047697606e-01
7.016707843648359866e-01,3.148329058027768967e-01
2.791298058799938642e-01,3.522408893308350830e-01
6.542166454674901432e-01,8.666277745360110307e-01
7.962184150182429754e-01,9.868244265753925992e-01
9.589622832792270568e-01,9.750098883888578261e-01
9.645597513577808257e-02,2.238287027193512357e-01
9.072526845422526076e-01,5.140673976108552923e-01
7.065064207773019689e-01,4.089110578141701424e-01
6.101263736989324116e-01,3.265906123591163501e-01
5.497544841351770240e-01,5.573006069592257861e-01
1.756934313667509739e-01,7.947195699499842725e-02
3.508012344169583185e-01,1.626485578236725460e-01
8.956071306685708944e-01,9.582875870361822201e-01
9.884451903235176307e-01,9.347524641182411997e-01
1.249985176275952292e-01,3.337300640543784391e-01
1.859721274245835776e-01,3.285519339756317603e-01
7.197363555644269439e-01,2.058478214009322738e-01
8.837563349907430199e-01,7.396863538376738934e-01
1.166114751287141704e-01,1.824814972551250247e-01
1.516004486966798792e-01,2.038400880629919198e-01
6.605691857407683942e-01,8.754706874367701452e-01
9.277378844968854343e-01,9.336076246408769874e-01
8.881448748979869912e-01,9.599217414941789706e-01
5.873981026164381003e-01,9.084953745112320789e-01
2.926742715744727885e-01,4.662117701601864450e-01
8.142710754623588842e-02,1.170024258226415315e-01
9.039502810172272973e-01,8.820658517975630275e-01
5.467320497766378073e-01,6.833507568673680144e-01
3.877193208058721807e-01,7.396770017106066297e-02
3.206753617571363180e-02,4.597050935430187918e-02
8.861339535567996917e-01,8.842211973544653603e-01
6.010652367968893905e-01,9.508888581005987550e-01
9.499643264320460911e-01,9.777759517751816176e-01
2.423411427702345522e-01,1.765433430637622925e-01
8.795347185160673487e-01,7.904442597608990484e-01
5.747879683586000210e-01,7.401754460963310134e-01
2.667937856853225265e-01,2.435666374096344677e-01
5.925163191318564421e-02,1.494568745733027178e-02
8.906961379488400610e-01,8.288558458407041529e-01
7.330922062358473656e-01,7.710110529940217283e-01
3.315266752740048672e-01,4.370972363010541262e-01
7.223668624731521826e-01,1.636719173264967742e-01
7.118668822860896306e-01,7.366517537355290468e-01
5.217076535116146330e-01,5.376541636548249903e-01
5.993793306521518760e-01,5.055375383321301097e-01
3.981580590550251042e-01,7.529597010819940595e-01
3.194305598353240905e-01,2.182466396196195979e-01
3.937690198726692681e-01,1.451294576545977821e-01
6.418892091816714718e-01,3.201554929581817421e-01
4.989323613474564573e-02,3.885471496077910203e-01
9.446385709464009128e-01,7.022287754395660775e-01
4.773640178060958861e-01,4.227739459745193384e-01
5.362499901155307613e-01,5.234396899052968788e-01
6.219130498759743997e-01,1.684843383889986779e-01
1.055265102577911951e-01,2.718542456250671036e-01
8.308575346965144659e-01,8.758103420772982428e-01
1.979014917601447654e-01,1.945709826066933101e-01
8.409524941025647848e-01,4.603117104523309910e-01
2.023330828924229108e-01,2.129679594715279678e-01
9.501503162619638898e-01,9.830287445713032923e-01
2.003128500968044956e-01,7.762326487148100140e-01
5.100408586388268661e-01,5.555024825504961683e-01
5.784410449184573810e-01,1.612700450789370521e-01
1.364420072908439363e-01,6.426035841044264174e-01
7.089278639281046956e-01,5.254651789601709755e-01
6.642848557117548847e-01,5.910049587648853464e-01
3.612298210077992677e-01,2.903392265422836127e-01
4.694670733649983219e-01,5.921222345235679363e-01
8.850442454519524826e-01,6.542153771506540316e-01
2.855348601189423019e-01,1.192966745266557105e-01
9.352672151003474932e-01,9.242504893061231908e-01
2.112410718405460797e-01,3.812730946152170786e-01
3.574062470508574396e-01,4.282916274463233197e-01
1.701673039609236104e-01,5.208723107158103049e-01
4.113432775899906191e-01,7.142424535872474167e-02
5.043028790224527436e-01,6.667528660618683434e-01
6.863912163441059366e-01,6.202061739034158139e-01
2.947341647414647992e-01,4.950356273279651331e-01
7.385302136753794100e-01,3.873238852047523051e-01
9.666104037423630668e-01,9.853756536333567739e-01
1.173579432539691506e-02,6.689407926822690809e-02
3.298098085035401361e-01,5.863784647136104367e-01
8.358310135623530090e-01,9.667438187052594945e-01
9.797251841399243766e-01,9.417213798595209795e-01
2.183982316478297325e-01,2.392810837003480073e-01
8.624347517907408056e-01,9.815454628501305567e-01
1.981079458743653099e-01,2.174399593611310855e-01
3.688198482092833741e-01,4.058296411307565354e-01
7.347676685999517954e-01,1.141341335092981302e-01
2.268700987770551070e-01,5.501622077367773755e-01
2.410680296940375111e-01,4.925292955773671322e-01
4.284721532199868288e-01,2.765720343572892759e-01
8.090156935688490591e-01,7.422836646039933095e-01
5.761375275286197972e-01,9.532159718844264162e-01
7.537657928681997799e-01,4.960604261202281595e-01
7.126842734299189130e-01,8.879028379347417843e-01
2.064513571677163428e-01,1.211564380316401124e-01
3.113327244833434815e-01,5.495230458767278447e-01
7.704749357058586767e-01,9.171473901556761454e-01
9.152716159644560534e-01,9.398248931129786765e-01
4.856847767027500096e-01,4.132910636951439010e-01
9.921277450732485237e-01,9.900666038929764046e-01
7.652333603544451135e-01,8.469940330915510796e-01
7.928940138694942075e-01,7.535458850307589218e-01
4.224393970121811948e-01,4.940860893404083742e-01
5.952472810530383684e-01,5.652371166177562190e-01
2.605644795279927206e-01,2.017156528292561868e-01
9.717630428455659164e-01,6.954197230064415036e-01
9.367258522320175418e-01,7.654468472238293852e-01
7.908234840000615273e-01,4.555329679228157791e-01
9.419753946282228840e-01,9.609670171301706310e-01
9.603492009776073424e-01,8.715483347550165849e-01
9.850829038364029566e-01,8.545376922727685454e-01
9.473961452171150155e-01,6.257888355781994205e-01
4.164374119291369691e-01,4.953995308587471613e-01
5.000059306843248619e-01,1.106891887022590226e-01
1.154321831242719476e-01,1.543195732272644727e-01
4.517871609362572594e-01,3.967157816626630806e-01
8.186686305277869335e-01,9.200439845244814396e-01
9.738191185460317589e-01,8.986963445628026737e-01
3.219420009935910487e-01,5.526205501772059048e-01
1.537139562496667167e-01,5.922322508249139306e-02
