segment_order,direction,pipe_idx,pipe_name,from_junction_idx,to_junction_idx,from_junction_name,to_junction_name,velocity_m_per_s,diameter_mm,length_m
1,supply_trunk_plant_to_leaf,274,pipe_S_plant_to_trunk,276,48,plant_supply,S_456106.6_5734318.8,0.9340984732145979,150.0,5.592142375185818
2,supply_trunk_plant_to_leaf,16,pipe_S_456106.6_5734318.8_to_456118.2_5734324.3,48,56,S_456106.6_5734318.8,S_456118.2_5734324.3,0.9340984732145979,150.0,12.864046797181997
3,supply_trunk_plant_to_leaf,90,pipe_S_456118.2_5734324.3_to_456141.1_5734330.4,56,72,S_456118.2_5734324.3,S_456141.1_5734330.4,0.9340984732145979,150.0,23.6643888575364
4,supply_trunk_plant_to_leaf,124,pipe_S_456141.1_5734330.4_to_456138.2_5734343.4,72,68,S_456141.1_5734330.4,S_456138.2_5734343.4,0.9340984732145979,150.0,13.273029043638646
5,supply_trunk_plant_to_leaf,80,pipe_S_456138.2_5734343.4_to_456146.3_5734345.7,68,74,S_456138.2_5734343.4,S_456146.3_5734345.7,0.9340984732145979,150.0,8.366803451920873
6,supply_trunk_plant_to_leaf,58,pipe_S_456146.3_5734345.7_to_456154.2_5734347.9,74,80,S_456146.3_5734345.7,S_456154.2_5734347.9,0.9340984732145979,150.0,8.192612525875054
7,supply_trunk_plant_to_leaf,182,pipe_S_456154.2_5734347.9_to_456160.6_5734316.8,80,88,S_456154.2_5734347.9,S_456160.6_5734316.8,0.9340984732145979,150.0,31.812477112128576
8,supply_trunk_plant_to_leaf,86,pipe_S_456160.6_5734316.8_to_456161.2_5734298.1,88,90,S_456160.6_5734316.8,S_456161.2_5734298.1,0.9340984732145979,150.0,18.68839211887591
9,supply_trunk_plant_to_leaf,204,pipe_S_456161.2_5734298.1_to_456151.6_5734290.1,90,78,S_456161.2_5734298.1,S_456151.6_5734290.1,0.9340984732145979,150.0,12.456749174782834
10,supply_trunk_plant_to_leaf,174,pipe_S_456151.6_5734290.1_to_456130.3_5734282.4,78,62,S_456151.6_5734290.1,S_456130.3_5734282.4,0.9340984732145979,150.0,22.64134492465771
11,supply_trunk_plant_to_leaf,78,pipe_S_456130.3_5734282.4_to_456111.9_5734273.0,62,52,S_456130.3_5734282.4,S_456111.9_5734273.0,0.9340984732145979,150.0,20.625898768610945
12,supply_trunk_plant_to_leaf,54,pipe_S_456111.9_5734273.0_to_456092.0_5734262.3,52,38,S_456111.9_5734273.0,S_456092.0_5734262.3,0.9340984732145979,150.0,22.66671789200312
13,supply_trunk_plant_to_leaf,172,pipe_S_456092.0_5734262.3_to_456072.0_5734255.6,38,34,S_456092.0_5734262.3,S_456072.0_5734255.6,0.9340984732145979,150.0,20.99436352923967
14,supply_trunk_plant_to_leaf,180,pipe_S_456072.0_5734255.6_to_456035.5_5734244.5,34,24,S_456072.0_5734255.6,S_456035.5_5734244.5,0.9340984732145979,150.0,38.21209232685458
15,supply_trunk_plant_to_leaf,0,pipe_S_456035.5_5734244.5_to_456014.0_5734234.3,24,20,S_456035.5_5734244.5,S_456014.0_5734234.3,0.9340984732145979,150.0,23.752136746223382
16,supply_trunk_plant_to_leaf,170,pipe_S_456014.0_5734234.3_to_455976.9_5734217.4,20,18,S_456014.0_5734234.3,S_455976.9_5734217.4,0.9340984732145979,150.0,40.8018149104898
17,supply_trunk_plant_to_leaf,200,pipe_S_455976.9_5734217.4_to_455964.4_5734213.6,18,16,S_455976.9_5734217.4,S_455964.4_5734213.6,0.9340984732145979,150.0,12.997880596405352
18,supply_trunk_plant_to_leaf,10,pipe_S_455964.4_5734213.6_to_455928.6_5734199.3,16,14,S_455964.4_5734213.6,S_455928.6_5734199.3,0.9340984732145979,150.0,38.5819348919862
19,supply_trunk_plant_to_leaf,88,pipe_S_455928.6_5734199.3_to_455916.9_5734196.5,14,12,S_455928.6_5734199.3,S_455916.9_5734196.5,0.9340984732145979,150.0,12.079010721038248
20,supply_trunk_plant_to_leaf,168,pipe_S_455916.9_5734196.5_to_455881.5_5734185.5,12,4,S_455916.9_5734196.5,S_455881.5_5734185.5,0.9340984732145979,150.0,37.022567441943984
21,supply_trunk_plant_to_leaf,126,pipe_S_455881.5_5734185.5_to_455851.2_5734174.3,4,0,S_455881.5_5734185.5,S_455851.2_5734174.3,0.9340984732145979,150.0,32.29086867848909
22,supply_trunk_plant_to_leaf,236,pipe_S_455851.2_5734174.3_to_455876.0_5734137.3,0,2,S_455851.2_5734174.3,S_455876.0_5734137.3,0.9340984732145979,150.0,44.52025718668817
23,supply_trunk_plant_to_leaf,202,pipe_S_455876.0_5734137.3_to_455883.6_5734134.2,2,6,S_455876.0_5734137.3,S_455883.6_5734134.2,0.9208293995882059,150.0,8.256106830793373
24,supply_trunk_plant_to_leaf,92,pipe_S_455883.6_5734134.2_to_455891.3_5734123.1,6,8,S_455883.6_5734134.2,S_455891.3_5734123.1,0.9208293995882059,150.0,13.516870939579997
25,supply_trunk_plant_to_leaf,210,pipe_S_455891.3_5734123.1_to_455903.1_5734115.0,8,10,S_455891.3_5734123.1,S_455903.1_5734115.0,0.9208293995882059,150.0,14.265714142572358
26,supply_trunk_plant_to_leaf,220,pipe_S_455903.1_5734115.0_to_456069.6_5734117.3,10,30,S_455903.1_5734115.0,S_456069.6_5734117.3,0.9208293995882059,150.0,166.52588417420952
27,supply_trunk_plant_to_leaf,36,pipe_S_456069.6_5734117.3_to_456072.0_5734103.5,30,32,S_456069.6_5734117.3,S_456072.0_5734103.5,0.9208293995882059,150.0,14.018708928224507
28,supply_trunk_plant_to_leaf,94,pipe_S_456072.0_5734103.5_to_456093.4_5734110.1,32,40,S_456072.0_5734103.5,S_456093.4_5734110.1,0.9208293995882059,150.0,22.40714618164991
29,supply_trunk_plant_to_leaf,96,pipe_S_456093.4_5734110.1_to_456093.5_5734110.2,40,42,S_456093.4_5734110.1,S_456093.5_5734110.2,0.9191372334298942,150.0,0.08544003750549678
30,supply_trunk_plant_to_leaf,98,pipe_S_456093.5_5734110.2_to_456100.8_5734112.4,42,46,S_456093.5_5734110.2,S_456100.8_5734112.4,0.9171468723859354,150.0,7.702110100395971
31,supply_trunk_plant_to_leaf,100,pipe_S_456100.8_5734112.4_to_456111.3_5734115.7,46,50,S_456100.8_5734112.4,S_456111.3_5734115.7,0.9027281317305417,150.0,10.991473968490304
32,supply_trunk_plant_to_leaf,102,pipe_S_456111.3_5734115.7_to_456120.9_5734118.6,50,58,S_456111.3_5734115.7,S_456120.9_5734118.6,0.8787887109912295,150.0,10.023916400304621
33,supply_trunk_plant_to_leaf,104,pipe_S_456120.9_5734118.6_to_456128.7_5734121.0,58,60,S_456120.9_5734118.6,S_456128.7_5734121.0,0.8622143446564582,150.0,8.185890299762674
34,supply_trunk_plant_to_leaf,106,pipe_S_456128.7_5734121.0_to_456134.6_5734122.9,60,66,S_456128.7_5734121.0,S_456134.6_5734122.9,0.8479632637761271,150.0,6.186840874037248
35,supply_trunk_plant_to_leaf,108,pipe_S_456134.6_5734122.9_to_456140.9_5734124.8,66,70,S_456134.6_5734122.9,S_456140.9_5734124.8,0.954881686468254,140.0,6.55076331422272
36,supply_trunk_plant_to_leaf,110,pipe_S_456140.9_5734124.8_to_456149.0_5734127.3,70,76,S_456140.9_5734124.8,S_456149.0_5734127.3,0.9264928661371626,140.0,8.49908818659258
37,supply_trunk_plant_to_leaf,112,pipe_S_456149.0_5734127.3_to_456155.2_5734129.2,76,82,S_456149.0_5734127.3,S_456155.2_5734129.2,0.9099544879975486,140.0,6.4875342002945775
38,supply_trunk_plant_to_leaf,114,pipe_S_456155.2_5734129.2_to_456159.4_5734130.5,82,84,S_456155.2_5734129.2,S_456159.4_5734130.5,0.8935810812109484,140.0,4.409104217310225
39,supply_trunk_plant_to_leaf,116,pipe_S_456159.4_5734130.5_to_456169.2_5734133.6,84,92,S_456159.4_5734130.5,S_456169.2_5734133.6,0.8590058351418467,140.0,10.245218396739507
40,supply_trunk_plant_to_leaf,118,pipe_S_456169.2_5734133.6_to_456175.2_5734135.4,92,94,S_456169.2_5734133.6,S_456175.2_5734135.4,0.8426049331297442,140.0,6.237563627180783
41,supply_trunk_plant_to_leaf,120,pipe_S_456175.2_5734135.4_to_456189.6_5734139.8,94,96,S_456175.2_5734135.4,S_456189.6_5734139.8,0.8274550638779945,140.0,15.049850497446899
42,supply_trunk_plant_to_leaf,122,pipe_S_456189.6_5734139.8_to_456192.3_5734140.7,96,100,S_456189.6_5734139.8,S_456192.3_5734140.7,0.8112466284444078,140.0,2.8688150865642967
43,supply_trunk_plant_to_leaf,62,pipe_S_456192.3_5734140.7_to_456196.2_5734142.0,100,102,S_456192.3_5734140.7,S_456196.2_5734142.0,0.7695941113310224,140.0,4.104655892889812
44,supply_trunk_plant_to_leaf,64,pipe_S_456196.2_5734142.0_to_456210.1_5734146.7,102,106,S_456196.2_5734142.0,S_456210.1_5734146.7,0.9427189161120154,125.0,14.707810850154033
45,supply_trunk_plant_to_leaf,66,pipe_S_456210.1_5734146.7_to_456216.1_5734148.7,106,108,S_456210.1_5734146.7,S_456216.1_5734148.7,0.9187483585573345,125.0,6.327724709490881
46,supply_trunk_plant_to_leaf,68,pipe_S_456216.1_5734148.7_to_456230.2_5734153.4,108,110,S_456216.1_5734148.7,S_456230.2_5734153.4,0.8928291153884961,125.0,14.875402515611547
47,supply_trunk_plant_to_leaf,70,pipe_S_456230.2_5734153.4_to_456236.2_5734155.4,110,114,S_456230.2_5734153.4,S_456236.2_5734155.4,0.8733422592469208,125.0,6.245518393030249
48,supply_trunk_plant_to_leaf,72,pipe_S_456236.2_5734155.4_to_456241.7_5734157.3,114,118,S_456236.2_5734155.4,S_456241.7_5734157.3,0.8507857921379115,125.0,5.888191572895033
49,supply_trunk_plant_to_leaf,74,pipe_S_456241.7_5734157.3_to_456273.7_5734168.1,118,132,S_456241.7_5734157.3,S_456273.7_5734168.1,0.8489923115726694,125.0,33.77007106915572
