hour,type,element,name,value,limit,severity
6667,line_planning_warning,line_646,,98.7%,80.0%,warning
6667,line_planning_warning,line_647,,89.3%,80.0%,warning
6667,line_planning_warning,line_648,,80.9%,80.0%,warning
6667,line_overload,line_1139,,116.3%,100.0%,warning
6667,line_overload,line_1140,,116.3%,100.0%,warning
6667,line_overload,line_1141,,105.1%,100.0%,warning
6667,line_overload,line_1142,,105.1%,100.0%,warning
6667,line_planning_warning,line_1143,,90.0%,80.0%,warning
6667,line_planning_warning,line_1144,,90.0%,80.0%,warning
6667,line_planning_warning,line_1145,,90.0%,80.0%,warning
6667,line_planning_warning,line_1146,,84.9%,80.0%,warning
6667,line_planning_warning,line_1387,,80.3%,80.0%,warning
6667,line_planning_warning,line_1388,,86.9%,80.0%,warning
6667,line_overload,line_1389,,105.8%,100.0%,warning
6667,line_overload,line_1390,,105.8%,100.0%,warning
6667,line_overload,line_1391,,116.3%,100.0%,warning
6667,line_overload,line_1392,,124.5%,100.0%,critical
6667,line_overload,line_1393,,135.3%,100.0%,critical
6667,line_overload,line_1449,,201.5%,100.0%,critical
6667,line_overload,line_1455,,105.2%,100.0%,warning
6667,line_overload,line_1456,,165.3%,100.0%,critical
6434,line_planning_warning,line_646,,97.6%,80.0%,warning
6434,line_planning_warning,line_647,,88.4%,80.0%,warning
6434,line_planning_warning,line_648,,80.0%,80.0%,warning
6434,line_overload,line_1139,,115.1%,100.0%,warning
6434,line_overload,line_1140,,115.1%,100.0%,warning
6434,line_overload,line_1141,,103.9%,100.0%,warning
6434,line_overload,line_1142,,103.9%,100.0%,warning
6434,line_planning_warning,line_1143,,89.1%,80.0%,warning
6434,line_planning_warning,line_1144,,89.1%,80.0%,warning
6434,line_planning_warning,line_1145,,89.1%,80.0%,warning
6434,line_planning_warning,line_1146,,84.0%,80.0%,warning
6434,line_planning_warning,line_1388,,85.9%,80.0%,warning
6434,line_overload,line_1389,,104.7%,100.0%,warning
6434,line_overload,line_1390,,104.7%,100.0%,warning
6434,line_overload,line_1391,,115.0%,100.0%,warning
6434,line_overload,line_1392,,123.2%,100.0%,critical
6434,line_overload,line_1393,,133.9%,100.0%,critical
6434,line_overload,line_1449,,199.3%,100.0%,critical
6434,line_overload,line_1455,,104.1%,100.0%,warning
6434,line_overload,line_1456,,163.6%,100.0%,critical
6556,line_planning_warning,line_646,,96.3%,80.0%,warning
6556,line_planning_warning,line_647,,87.2%,80.0%,warning
6556,line_overload,line_1139,,113.5%,100.0%,warning
6556,line_overload,line_1140,,113.5%,100.0%,warning
6556,line_overload,line_1141,,102.5%,100.0%,warning
6556,line_overload,line_1142,,102.5%,100.0%,warning
6556,line_planning_warning,line_1143,,87.9%,80.0%,warning
6556,line_planning_warning,line_1144,,87.9%,80.0%,warning
6556,line_planning_warning,line_1145,,87.9%,80.0%,warning
6556,line_planning_warning,line_1146,,82.8%,80.0%,warning
6556,line_planning_warning,line_1388,,84.8%,80.0%,warning
6556,line_overload,line_1389,,103.3%,100.0%,warning
6556,line_overload,line_1390,,103.3%,100.0%,warning
6556,line_overload,line_1391,,113.4%,100.0%,warning
6556,line_overload,line_1392,,121.5%,100.0%,critical
6556,line_overload,line_1393,,132.1%,100.0%,critical
6556,line_overload,line_1449,,196.6%,100.0%,critical
6556,line_overload,line_1455,,102.8%,100.0%,warning
6556,line_overload,line_1456,,161.4%,100.0%,critical
7158,line_planning_warning,line_646,,95.1%,80.0%,warning
7158,line_planning_warning,line_647,,86.1%,80.0%,warning
